Al;Co;Cr;Cu;Fe;Mg;Mn;Na;Ni;NiDailyExtraction
0.08;0.0008;1;0.0008;0.08;0.7;1;7.1;4;0.00%
0.08;0.0008;1;0.0008;0.08;0.7;1;7.1;4;0.50%
0.08;0.0008;1;0.0008;0.08;0.7;1;7.1;4;1.36%
0.08;0.0008;1;0.0008;0.08;0.7;1;7.1;4;1.46%
0.08;0.0008;1;0.0008;0.08;0.7;1;7.1;4;1.47%
0.08;0.0008;1;0.0008;0.08;0.7;1;7.1;4;1.50%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;1.45%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;1.57%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;1.59%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;1.58%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;2.13%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;1.71%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;1.48%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;1.22%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;5;0.98%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;5;0.78%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;5;0.67%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;5;0.52%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7;5;0.48%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.7;0.0008;0.55%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.7;0.0008;0.63%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.7;0.0008;0.54%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;0.56%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;0.60%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;0.81%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;6.8;1;0.79%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.1;1;0.73%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.1;1;0.79%
0.08;0.0008;0.0008;0.0008;0.08;0.8;0.0008;7.1;1;0.81%
0.08;0.0008;1;0.0008;0.1;0.85;1;6.75;4;0.78%
0.08;0.0008;1;0.0008;0.1;0.85;1;6.75;4;0.75%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.2;2;0.74%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.2;2;0.76%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.2;2;0.69%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.2;2;0.69%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.2;2;0.65%
0.08;0.0008;0.0008;0.0008;0.08;0.9;1;7.2;2;0.68%
0.08;0.0008;0.0015;0.0008;0.08;0.9;1;7.5;3;0.71%
