Al,Co,Cr,Cu,Fe,Mg,Mn,Na,Ni,Ni Daily Extractiion
(g/L),(g/L),(g/L),(g/L),(g/L),(g/L),(g/L),(g/L),(g/L),
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,7.1,0.004,0.00%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,7.1,0.004,0.50%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,7.1,0.004,1.36%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,7.1,0.004,1.46%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,7.1,0.004,1.47%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,7.1,0.004,1.50%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,1.45%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,1.57%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,1.59%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,1.58%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,2.13%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,1.71%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,1.48%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,1.22%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.005,0.98%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.005,0.78%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.005,0.67%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.005,0.52%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.005,0.48%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.7,0.0008,0.55%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.7,0.0008,0.63%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.7,0.0008,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,0.56%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,0.60%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,0.81%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,0.79%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.1,0.001,0.73%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.1,0.001,0.79%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.1,0.001,0.81%
0.08,0.0008,0.001,0.0008,0.1,0.85,0.001,6.75,0.004,0.78%
0.08,0.0008,0.001,0.0008,0.1,0.85,0.001,6.75,0.004,0.75%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.2,0.002,0.74%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.2,0.002,0.76%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.2,0.002,0.69%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.2,0.002,0.69%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.2,0.002,0.65%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.2,0.002,0.68%
0.08,0.0008,0.0015,0.0008,0.08,0.9,0.001,7.5,0.003,0.71%
0.08,0.0008,0.0015,0.0008,0.08,0.9,0.001,7.5,0.003,0.71%
0.08,0.0008,0.0015,0.0008,0.08,0.9,0.001,7.5,0.003,0.71%
0.08,0.0008,0.0015,0.0008,0.08,0.9,0.001,7.5,0.003,0.72%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.4,0.002,0.66%
0.08,0.0008,0.0008,0.0008,0.08,0.85,0.0008,7.1,0.002,0.73%
0.08,0.0008,0.0008,0.0008,0.08,0.85,0.0008,7.1,0.002,0.68%
0.08,0.0008,0.0008,0.0008,0.08,0.85,0.0008,7.1,0.002,0.68%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7,0.001,0.66%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7,0.001,0.58%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7,0.001,0.66%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.001,0.64%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,7.4,0.001,0.72%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,7.4,0.001,0.71%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.7,0.001,0.70%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.7,0.001,0.67%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.0008,0.66%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.0008,0.64%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.0008,0.59%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,7,0.004,0.64%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,7,0.004,0.66%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.001,0.66%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.001,0.69%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.001,0.66%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.3,0.001,0.63%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.3,0.001,0.65%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.0008,6.5,0.001,0.66%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.0008,6.5,0.001,0.63%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.7,0.001,0.62%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.7,0.001,0.62%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.1,0.001,0.59%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.55,0.001,0.60%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.55,0.001,0.61%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.001,0.60%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.001,0.64%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.001,0.64%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.001,0.67%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.001,0.66%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.001,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,7.1,0.001,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,7.1,0.001,0.53%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.0008,8.2,0.002,0.55%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.0008,8.2,0.002,0.53%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7,0.002,0.53%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7,0.002,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.4,0.001,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.4,0.001,0.56%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.4,0.001,0.53%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.4,0.001,0.45%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.001,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.2,0.001,0.51%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.1,0.0008,0.48%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.1,0.0008,0.50%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.0008,7.2,0.0008,0.52%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.0008,7.2,0.0008,0.50%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.002,0.49%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.0008,7.5,0.002,0.48%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.9,0.001,0.46%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.9,0.001,0.47%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.001,0.50%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.001,0.48%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7,0.001,0.53%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.7,0.001,0.42%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.7,0.001,0.51%
0.08,0.0008,0.0008,0.0008,0.08,0.5,0.001,3.6,0.001,0.48%
0.08,0.0008,0.0008,0.0008,0.08,0.5,0.001,3.6,0.001,0.48%
0.08,0.0008,0.001,0.0008,0.08,0.45,0.0008,3.5,0.0015,0.45%
0.08,0.0008,0.001,0.0008,0.08,0.45,0.0008,3.5,0.0015,0.46%
0.08,0.0008,0.0008,0.0008,0.08,0.2,0.0008,1.9,0.001,0.47%
0.08,0.0008,0.0008,0.0008,0.08,0.2,0.0008,1.9,0.001,0.44%
0.08,0.0008,0.0008,0.0008,0.08,0.5,0.0008,4.1,0.0008,0.43%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.001,6.6,0.001,0.41%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.001,6.3,0.003,0.42%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.001,6.3,0.003,0.44%
0.08,0.0008,0.001,0.0008,0.08,0.8,0.001,6.3,0.003,0.44%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.9,0.002,0.40%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.9,0.002,0.42%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,6.2,0.002,0.39%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,6.2,0.002,0.40%
0.08,0.0008,0.001,0.0008,0.08,0.7,0.001,6.2,0.002,0.40%
0.08,0.0008,0.0008,0.0008,0.08,0.75,0.0008,6.9,0.002,0.39%
0.08,0.0008,0.0008,0.0008,0.08,0.75,0.0008,6.9,0.002,0.38%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.001,6.8,0.002,0.37%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.001,6.8,0.002,0.27%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.001,6.8,0.002,0.39%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.9,0.002,0.35%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.9,0.002,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.6,0.002,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.6,0.002,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.8,0.003,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.8,0.003,0.34%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.001,6.8,0.001,0.32%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.001,6.8,0.001,0.32%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.7,0.001,0.32%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.7,0.001,0.29%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.7,0.001,0.30%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.3,0.001,0.29%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,7.3,0.001,0.28%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.0008,0.27%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.8,0.0008,0.27%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.6,0.002,0.28%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,6.6,0.002,0.25%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,6.3,0.001,0.24%
0.08,0.0008,0.0008,0.0008,0.08,0.9,0.001,6.3,0.001,0.24%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.7,0.001,0.23%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.7,0.001,0.23%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,6.7,0.001,0.21%
0,0,0,0,0,0,0,0,0,0.08%
0,0,0,0,0,0,0,0,0,0.02%
0,0,0,0,0,0,0,0,0,0.01%
0,0,0,0,0,0,0,0,0,0.01%
0,0,0,0,0,0,0,0,0,0.01%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.3,0.002,0.01%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.3,0.002,0.12%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.3,0.002,0.12%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.05,0.002,0.11%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.05,0.001,0.09%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.0008,7.05,0.001,0.13%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.11%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.13%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.13%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.13%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.11%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.13%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.06%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.03%
0.08,0.0008,0.0008,0.0008,0.08,0.7,0.0008,6.6,0.0008,0.02%
0.4,0.0055,0.1705,0.003,14.2,2.65,0.0445,0,0.4545,0.00%
0.4,0.0055,0.1705,0.003,14.2,2.65,0.0445,0,0.4545,0.00%
0.4,0.0055,0.1705,0.003,14.2,2.65,0.0445,0,0.4545,0.93%
0.4,0.0055,0.1705,0.003,14.2,2.65,0.0445,0,0.4545,1.37%
0.4,0.0055,0.1705,0.003,14.2,2.65,0.0445,0,0.4545,1.46%
0.4,0.0055,0.1705,0.003,14.2,2.65,0.0445,0,0.4545,1.30%
0.3,0.005,0.172,0.003,13.3,3.4,0.045,0,0.442,1.19%
0.3,0.005,0.172,0.003,13.3,3.4,0.045,0,0.442,1.27%
0.3,0.005,0.172,0.003,13.3,3.4,0.045,0,0.442,1.34%
0.3,0.005,0.172,0.003,13.3,3.4,0.045,0,0.442,1.29%
0.3,0.005,0.172,0.003,13.3,3.4,0.045,0,0.442,1.83%
0.4,0.006,0.175,0.002,13.2,4.3,0.073,0,0.417,1.53%
0.4,0.006,0.175,0.002,13.2,4.3,0.073,0,0.417,1.34%
0.4,0.006,0.175,0.002,13.2,4.3,0.073,0,0.417,1.12%
0.4,0.006,0.17,0.002,13.35,4.1,0.0645,0,0.4225,1.02%
0.4,0.006,0.17,0.002,13.35,4.1,0.0645,0,0.4225,0.85%
0.4,0.006,0.17,0.002,13.35,4.1,0.0645,0,0.4225,0.78%
0.4,0.006,0.17,0.002,13.35,4.1,0.0645,0,0.4225,0.78%
0.4,0.006,0.17,0.002,13.35,4.1,0.0645,0,0.4225,0.77%
0.4,0.007,0.171,0.003,12.8,4.7,0.071,0,0.4,0.84%
0.4,0.007,0.171,0.003,12.8,4.7,0.071,0,0.4,0.72%
0.4,0.007,0.171,0.003,12.8,4.7,0.071,0,0.4,0.60%
0.4,0.007,0.171,0.003,12.8,4.7,0.071,0,0.4,0.54%
0.4,0.007,0.171,0.003,12.8,4.7,0.071,0,0.4,0.56%
0.4,0.006,0.179,0.003,13.5,4.3,0.072,0,0.445,0.64%
0.4,0.006,0.179,0.003,13.5,4.3,0.072,0,0.445,0.59%
0.4,0.007,0.173,0.003,14.1,3.8,0.07,0,0.454,0.51%
0.4,0.007,0.173,0.003,14.1,3.8,0.07,0,0.454,0.48%
0.4,0.007,0.173,0.003,14.1,3.8,0.07,0,0.454,0.52%
0.4,0.006,0.1755,0.003,11.8,3.95,0.066,0,0.4405,0.46%
0.4,0.006,0.1755,0.003,11.8,3.95,0.066,0,0.4405,0.44%
0.4,0.006,0.174,0.002,12.95,3.8,0.0665,0,0.4355,0.47%
0.4,0.007,0.176,0.003,13.2,4.15,0.061,0,0.425,0.49%
0.4,0.007,0.176,0.003,13.2,4.15,0.061,0,0.425,0.43%
0.4,0.007,0.176,0.003,13.2,4.15,0.061,0,0.425,0.50%
0.4,0.007,0.175,0.002,15,4,0.061,0,0.432,0.30%
0.4,0.007,0.175,0.002,15,4,0.061,0,0.432,0.33%
0.4,0.007,0.175,0.002,15,4,0.061,0,0.432,0.40%
0.4,0.007,0.168,0.003,12.5,3.7,0.062,0,0.409,0.41%
0.4,0.007,0.178,0.002,13.6,3.9,0.069,0,0.428,0.40%
0.4,0.007,0.178,0.002,13.6,3.9,0.069,0,0.428,0.37%
0.4,0.007,0.178,0.002,13.6,3.9,0.069,0,0.428,0.39%
0.4,0.007,0.178,0.002,13.6,3.9,0.069,0,0.428,0.40%
0.4,0.007,0.176,0.003,13.4,3.75,0.07,0,0.4425,0.41%
0.4,0.007,0.176,0.003,13.4,3.75,0.07,0,0.4425,0.42%
0.4,0.006,0.166,0.003,13.3,3.7,0.063,0,0.431,0.40%
0.4,0.006,0.166,0.003,13.3,3.7,0.063,0,0.431,0.40%
0.4,0.006,0.166,0.003,13.3,3.7,0.063,0,0.431,0.40%
0.4,0.006,0.175,0.002,13.1,3.8,0.069,0,0.454,0.38%
0.4,0.006,0.175,0.002,13.1,3.8,0.069,0,0.454,0.40%
0.4,0.006,0.175,0.002,13.1,3.8,0.069,0,0.454,0.43%
0.4,0.006,0.175,0.002,13.1,3.8,0.069,0,0.454,0.40%
0.4,0.007,0.1865,0.003,14.5,3.85,0.0665,0,0.4295,0.39%
0.4,0.007,0.1865,0.003,14.5,3.85,0.0665,0,0.4295,0.36%
0.4,0.007,0.1865,0.003,14.5,3.85,0.0665,0,0.4295,0.39%
0.4,0.007,0.1865,0.003,14.5,3.85,0.0665,0,0.4295,0.39%
0.4,0.007,0.177,0.003,13.6,4.2,0.069,0,0.43,0.34%
0.4,0.007,0.177,0.003,13.6,4.2,0.069,0,0.43,0.37%
0.4,0.007,0.177,0.003,13.6,4.2,0.069,0,0.43,0.39%
0.4,0.007,0.179,0.003,13.7,4.1,0.069,0,0.464,0.36%
0.4,0.007,0.179,0.003,13.7,4.1,0.069,0,0.464,0.36%
0.4,0.007,0.185,0.003,14.9,4.3,0.064,0,0.44,0.34%
0.4,0.007,0.185,0.003,14.9,4.3,0.064,0,0.44,0.34%
0.3,0.005,0.151,0.002,13.6,2.8,0.049,0,0.365,0.40%
0.3,0.005,0.151,0.002,13.6,2.8,0.049,0,0.365,0.41%
0.3,0.005,0.151,0.002,13.6,2.8,0.049,0,0.365,0.39%
0.3,0.005,0.151,0.002,13.6,2.8,0.049,0,0.365,0.38%
0.3,0.006,0.1645,0.003,12.85,2.9,0.0505,0,0.3885,0.35%
0.3,0.006,0.1645,0.003,12.85,2.9,0.0505,0,0.3885,0.29%
0.3,0.006,0.166,0.002,12.8,3.1,0.053,0,0.39,0.34%
0.3,0.006,0.166,0.002,12.8,3.1,0.053,0,0.39,0.36%
0.3,0.006,0.166,0.002,12.8,3.1,0.053,0,0.39,0.36%
0.3,0.007,0.161,0.003,12.25,3.2,0.059,0,0.3985,0.37%
0.3,0.007,0.161,0.003,12.25,3.2,0.059,0,0.3985,0.35%
0.3,0.007,0.161,0.003,12.25,3.2,0.059,0,0.3985,0.34%
0.3,0.007,0.161,0.003,12.25,3.2,0.059,0,0.3985,0.35%
0.4,0.007,0.17,0.002,11.8,3.4,0.057,0,0.359,0.37%
0.4,0.007,0.175,0.002,11.8,3.4,0.058,0,0.369,0.26%
0.3,0.007,0.163,0.002,11.5,3.5,0.057,0,0.394,0.30%
0.4,0.007,0.166,0.003,12.6,3.6,0.057,0,0.412,0.32%
0.4,0.007,0.172,0.003,12.8,3.5,0.06,0,0.393,0.32%
0.3,0.007,0.167,0.003,12.35,3.4,0.056,0,0.3845,0.34%
0.4,0.006,0.169,0.002,12.5,3.4,0.06,0,0.386,0.35%
0.3,0.006,0.1575,0.002,11.4,2.95,0.0585,0,0.389,0.34%
0.3,0.006,0.16,0.002,11.2,3,0.059,0,0.394,0.33%
0.4,0.006,0.164,0.002,12,3,0.059,0,0.387,0.36%
0.4,0.006,0.175,0.002,11.9,3.3,0.061,0,0.401,0.28%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.54%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.77%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.001,0,0.0008,0.77%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.001,0,0.0008,0.69%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.63%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.55%
0.08,0.0008,0.002,0.0008,0.08,0.08,0.0008,0,0.002,0.53%
0.08,0.0008,0.002,0.0008,0.08,0.08,0.0008,0,0.002,0.51%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.50%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.51%
0.08,0.006,0.003,0.0008,0.08,1.3,0.049,0,0.018,0.52%
0.08,0.006,0.003,0.0008,0.08,1.3,0.049,0,0.018,0.53%
0.08,0.005,0.003,0.0008,0.08,1,0.039,0,0.017,0.53%
0.08,0.005,0.003,0.0008,0.08,1,0.039,0,0.017,0.43%
0.08,0.005,0.003,0.0008,0.08,1,0.039,0,0.017,0.53%
0.08,0.003,0.001,0.0008,0.08,0.9,0.044,0,0.016,0.52%
0.08,0.003,0.001,0.0008,0.08,0.9,0.044,0,0.016,0.51%
0.08,0.001,0.000008,0.0008,0.08,0.8,0.003,0,0.0015,0.48%
0.08,0.001,0.000008,0.0008,0.08,0.8,0.003,0,0.0015,0.50%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,0,0.001,0.52%
0.08,0.0008,0.0008,0.0008,0.08,0.8,0.001,0,0.001,0.55%
0.08,0.004,0.002,0.0008,0.08,1,0.033,0,0.012,0.50%
0.08,0.005,0.003,0.0008,0.08,1.1,0.044,0,0.015,0.41%
0.08,0.006,0.004,0.0008,0.08,1.1,0.043,0,0.016,0.39%
0.08,0.006,0.004,0.0008,0.08,1.1,0.043,0,0.016,0.40%
0.08,0.006,0.004,0.0008,0.08,1.1,0.043,0,0.016,0.41%
0.08,0.005,0.003,0.0008,0.08,1,0.043,0,0.015,0.35%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.35%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.38%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.40%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.40%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.39%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.36%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.26%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.40%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.38%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.38%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.39%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.37%
0.08,0.0008,0.0008,0.0008,0.08,0.2,0.0008,0,0.002,0.37%
0.08,0.0008,0.0008,0.0008,0.08,0.2,0.0008,0,0.002,0.36%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.37%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.37%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.37%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.36%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.0015,0.36%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.0015,0.36%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.002,0.35%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.002,0.35%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.34%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.35%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.33%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.32%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.33%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.32%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.32%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.32%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.32%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.001,0.31%
0.08,0.0008,0.001,0.0008,0.08,0.08,0.0008,0,0.0008,0.31%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.31%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.31%
0.08,0.001,0.001,0.001,0.08,0.08,0.001,0,0.001,0.31%
0.08,0.001,0.001,0.001,0.08,0.08,0.001,0,0.001,0.31%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.30%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.34%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.0008,0.34%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.35%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.35%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.36%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.001,0.33%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.28%
0.08,0.0008,0.0008,0.0008,0.08,0.08,0.0008,0,0.002,0.33%
