Month;Price
01/12/1992;5724
01/12/1993;5119
01/12/1994;8556
01/12/1995;8091
01/12/1996;6581
01/12/1997;5945
01/12/1998;3878
01/12/1999;8083
01/12/2000;7314
01/12/2001;5264
01/12/2002;7193
01/12/2003;14163
01/12/2004;13769
01/12/2005;13429
01/12/2006;34570
01/12/2007;25992
01/12/2008;9686
01/12/2009;17066
01/12/2010;24111
01/12/2011;18267
01/12/2012;17449
01/12/2013;13925
01/12/2014;15962
01/12/2015;8708
01/12/2016;10972
01/12/2017;11495
01/12/2018;10835
01/12/2019;13829
01/12/2020;16823
01/12/2021;20016
01/12/2022;28947
01/12/2023;22533
01/12/2024;21403
01/12/2025;18923
01/12/2026;17601
01/12/2027;14707
01/12/2028;14281
01/12/2029;14210
01/12/2030;14243
01/12/2031;14908
01/12/2032;15901
01/12/2033;17528
01/12/2034;20341
