Id_Sample;Region;Ni_Head;Fe_Head;Mg_Head;Si_Head;Al_Head;Cr_Head;Co_Head;Fe_Mg;Fe_Ni;Fe_Si;Fe_Al;Fe_Cr;Fe_Co;Si_Ni;Si_Mg;Si_Al;Si_Cr;Si_Co;Al_Ni;Al_Mg;Al_Cr;Al_Co;Ni_Mg;Ni_Cr;Ni_Co;Mg_Cr;Mg_Co;Co_Cr;Source
TRI;KBN;0,0114;0,1262;0,1214;0,2189;0,015;0,007;0;1,04;11,07;0,58;8,55;18,59;701,11;19,2;1,8;14,83;32,24;1216,11;1,29;0,12;2,17;82;0,09;1,68;63,33;17,88;674,44;0,03;M
NLS;KBN;0,0176;0,1165;0,1172;0,219;0,016;0,005;0;0,99;6,62;0,53;7,34;22,24;516,1;12,44;1,87;13,8;41,8;970,17;0,9;0,14;3,03;70,28;0,15;3,36;77,97;22,37;519,2;0,04;M
RHL;KBN;0,0166;0,1407;0,1352;0,2086;0,013;0,007;0;1,04;8,48;0,67;10,7;20,77;528,31;12,57;1,54;15,87;30,79;783,27;0,79;0,1;1,94;49,36;0,12;2,45;62,33;19,96;507,66;0,04;M
ATK;KBN;0,0219;0,1649;0,0928;0,2134;0,024;0,008;0,001;1,78;7,53;0,77;6,92;20,62;200,47;9,74;2,3;8,96;26,68;259,43;1,09;0,26;2,98;28,95;0,24;2,74;26,62;11,6;112,81;0,1;M
ACM;KBN;0,0184;0,1765;0,1099;0,1867;0,02;0,012;0;1,61;9,59;0,95;9;14,79;426,76;10,15;1,7;9,52;15,64;451,43;1,07;0,18;1,64;47,44;0,17;1,54;44,49;9,21;265,73;0,03;M
TIM;KBN;0,0148;0,1045;0,1011;0,2542;0,018;0,006;0;1,03;7,06;0,41;5,79;16,14;522,95;17,18;2,51;14,08;39,26;1272,1;1,22;0,18;2,79;90,37;0,15;2,29;74,06;15,61;505,94;0,03;M
ALH;KBN;0,013;0,1398;0,0602;0,2654;0,014;0,007;0;2,32;10,75;0,53;9,95;20,04;423,64;20,42;4,41;18,9;38,04;804,24;1,08;0,23;2,01;42,56;0,22;1,86;39,39;8,63;182,42;0,05;M
BKA;KBN;0,0113;0,1345;0,0642;0,2284;0,018;0,006;0;2,1;11,9;0,59;7,3;22,29;445,53;20,21;3,56;12,4;37,85;756,58;1,63;0,29;3,05;61,03;0,18;1,87;37,43;10,64;212,66;0,05;M
AMI-1;KBN;0,0161;0,2122;0,084;0,1703;0,019;0,011;0,001;2,53;13,18;1,25;11,1;18,86;335,66;10,58;2,03;8,91;15,14;269,38;1,19;0,23;1,7;30,23;0,19;1,43;25,47;7,47;132,87;0,06;M
AMI-2;KBN;0,0134;0,2545;0,0871;0,1386;0,021;0,014;0,001;2,92;18,99;1,84;12,03;17,92;181,79;10,34;1,59;6,55;9,76;99;1,58;0,24;1,49;15,11;0,15;0,94;9,57;6,13;62,21;0,1;M
AMI-3;KBN;0,0176;0,213;0,0848;0,1784;0,016;0,012;0,001;2,51;12,1;1,19;12,92;18,17;317,91;10,14;2,1;10,82;15,22;266,27;0,94;0,19;1,41;24,6;0,21;1,5;26,27;7,23;126,57;0,06;M
LMG;KBN;0,0144;0,147;0,0724;0,2305;0,02;0,007;0;2,03;10,21;0,64;7,32;20,95;301,71;16,01;3,18;11,48;32,85;473,09;1,39;0,28;2,86;41,2;0,2;2,05;29,56;10,32;148,6;0,07;M
HMG;KBN;0,0157;0,125;0,1299;0,211;0,018;0,006;0;0,96;7,96;0,59;7,1;19,84;625;13,44;1,62;11,99;33,49;1055;1,12;0,14;2,79;88;0,12;2,49;78,5;20,62;649,5;0,03;M
FS;KBN;0,0153;0,2337;0,0766;0,1624;0,019;0,012;0,001;3,05;15,27;1,44;12,18;19,06;246;10,61;2,12;8,46;13,25;170,95;1,25;0,25;1,56;20,2;0,2;1,25;16,11;6,25;80,63;0,08;M
MMG;KBN;0,013;0,1339;0,0973;0,2158;0,018;0,008;0;1,38;10,3;0,62;7,51;16,96;496,39;16,6;2,22;12,11;27,34;800,01;1,37;0,18;2,26;66,06;0,13;1,65;48,19;12,33;360,71;0,03;M
SSU;KBN;0,0168;0,1767;0,1204;0,191;0,019;0,01;0;1,47;10,52;0,93;9,34;18,37;366,91;11,37;1,59;10,09;19,86;396,6;1,13;0,16;1,97;39,29;0,14;1,75;34,88;12,52;250;0,05;M
TK;KBN;0,0092;0,085;0,0482;0,2513;0,02;0,004;0;1,76;9,24;0,34;4,35;19,74;496,63;27,32;5,21;12,86;58,36;1468,28;2,12;0,41;4,54;114,22;0,19;2,14;53,75;11,19;281,62;0,04;M
ALH 1;KBN;0,0144;0,1259;0,1089;0,2219;0,019;0,006;0;1,16;8,74;0,57;6,53;21,93;484,23;15,41;2,04;11,51;38,66;853,46;1,34;0,18;3,36;74,12;0,13;2,51;55,38;18,97;418,85;0,05;M
ALH 2;KBN;0,0152;0,1281;0,1092;0,2233;0,019;0,006;0;1,17;8,43;0,57;6,58;22,45;457,5;14,69;2,04;11,46;39,13;797,5;1,28;0,18;3,41;69,58;0,14;2,66;54,29;19,14;390;0,05;M
ALH 3;KBN;0,0146;0,1266;0,1086;0,2217;0,019;0,006;0;1,17;8,67;0,57;6,59;23,01;468,89;15,18;2,04;11,54;40,3;821,11;1,32;0,18;3,49;71,18;0,13;2,65;54,07;19,74;402,22;0,05;M
NLS 1;KBN;0,0086;0,1569;0,0787;0,2161;0,032;0,007;0;1,99;18,24;0,73;4,91;24,11;541,03;25,13;2,75;6,77;33,21;745,17;3,71;0,41;4,91;110,08;0,11;1,32;29,66;12,1;271,38;0,04;M
NLS 2;KBN;0,0091;0,158;0,079;0,2162;0,032;0,007;0;2;17,36;0,73;4,99;24,13;564,29;23,76;2,74;6,83;33,02;772,14;3,48;0,4;4,84;113,07;0,12;1,39;32,5;12,07;282,14;0,04;M
NLS 3;KBN;0,0087;0,157;0,0786;0,2162;0,032;0,006;0;2;18,05;0,73;4,95;24,17;550,88;24,85;2,75;6,82;33,28;758,6;3,64;0,4;4,88;111,18;0,11;1,34;30,53;12,1;275,79;0,04;M
TRI 1;KBN;0,0171;0,1235;0,1035;0,2278;0,026;0,007;0;1,19;7,22;0,54;4,84;17,9;411,67;13,32;2,2;8,93;33,01;759,33;1,49;0,25;3,7;85;0,17;2,48;57;15;345;0,04;M
TRI 2;KBN;0,0173;0,1252;0,0946;0,2254;0,029;0,007;0;1,32;7,24;0,56;4,26;18,14;417,33;13,03;2,38;7,67;32,67;751,33;1,7;0,31;4,26;98;0,18;2,51;57,67;13,71;315,33;0,04;M
TRI 3;KBN;0,0168;0,1222;0,1085;0,2208;0,028;0,007;0;1,13;7,27;0,55;4,43;17,97;407,33;13,14;2,04;8;32,47;736;1,64;0,25;4,06;92;0,15;2,47;56;15,96;361,67;0,04;M
AMS A;KOL;0,012;0,1525;0,1137;0,2013;0,016;0,009;0;1,34;12,71;0,76;9,82;17,2;435,71;16,78;1,77;12,96;22,7;575,14;1,29;0,14;1,75;44,37;0,11;1,35;34,29;12,82;324,86;0,04;M
AMS B;KOL;0,0124;0,1591;0,1109;0,1935;0,016;0,009;0;1,43;12,83;0,82;10,07;17,51;467,94;15,6;1,74;12,25;21,3;569,12;1,27;0,14;1,74;46,45;0,11;1,36;36,47;12,21;326,18;0,04;M
ALT (SAP);NKW;0,0134;0,1314;0,131;0,1892;0,027;0,006;0;1;9,81;0,69;4,87;20,22;597,27;14,12;1,44;7,01;29,11;860;2,01;0,21;4,15;122,73;0,1;2,06;60,91;20,15;595,45;0,03;M
ALT (1:1 SAP+LHC);NKW;0,0132;0,2616;0,0722;0,1114;0,05;0,013;0,001;3,62;19,82;2,35;5,28;19,81;327;8,44;1,54;2,25;8,44;139,25;3,75;0,69;3,75;61,88;0,18;1;16,5;5,47;90,25;0,06;M
ALT (2:1 SAP+LHC);NKW;0,0133;0,2192;0,0933;0,14;0,043;0,011;0,001;2,35;16,48;1,57;5,14;19,9;365,33;10,53;1,5;3,29;12,71;233,33;3,2;0,46;3,87;71,03;0,14;1,21;22,17;8,47;155,5;0,05;M
ALT (3:1 SAP+LHC);NKW;0,0134;0,1991;0,1025;0,1525;0,039;0,01;0,001;1,94;14,86;1,31;5,1;20,49;382,88;11,38;1,49;3,9;15,7;293,27;2,92;0,38;4,02;75,14;0,13;1,38;25,77;10,55;197,12;0,05;M
ALT (LIM LO CO);NKW;0,0142;0,2368;0,0745;0,146;0,036;0,012;0;3,18;16,68;1,62;6,61;19,12;526,22;10,28;1,96;4,07;11,79;324,44;2,52;0,48;2,89;79,65;0,19;1,15;31,56;6,02;165,56;0,04;M
ALT (1:1 SAP+LLC);NKW;0,014;0,1848;0,1034;0,1691;0,031;0,01;0;1,79;13,2;1,09;5,88;19,02;560;12,08;1,64;5,38;17,41;512,42;2,25;0,3;3,24;95,29;0,14;1,44;42,42;10,64;313,33;0,03;M
ALT (2:1 SAP+LLC);NKW;0,0136;0,1651;0,1132;0,1764;0,03;0,009;0;1,46;12,14;0,94;5,55;19,3;569,31;12,97;1,56;5,93;20,63;608,28;2,19;0,26;3,48;102,6;0,12;1,59;46,9;13,24;390,34;0,03;M
ALT (3:1 SAP+LLC);NKW;0,0135;0,1572;0,1186;0,1807;0,029;0,008;0;1,33;11,64;0,87;5,42;19,64;542,07;13,39;1,52;6,23;22,57;623,1;2,15;0,24;3,62;100,04;0,11;1,69;46,55;14,82;408,97;0,04;M
AL DS;NKW;0,0142;0,2011;0,1206;0,0712;0,017;0,009;0,001;1,67;14,16;2,82;11,62;21,93;379,43;5,01;0,59;4,11;7,77;134,34;1,22;0,14;1,89;32,66;0,12;1,55;26,79;13,15;227,55;0,06;M
AL BR;NKW;0,0135;0,1364;0,1441;0,1715;0,013;0,004;0;0,95;10,1;0,8;10,91;35,89;568,33;12,7;1,19;13,72;45,13;714,58;0,93;0,09;3,29;52,08;0,09;3,55;56,25;37,92;600,42;0,06;M
AL PB;NKW;0,0143;0,2318;0,0844;0,0617;0,044;0,011;0,001;2,75;16,21;3,76;5,26;21,31;406,67;4,31;0,73;1,4;5,67;108,25;3,08;0,52;4,05;77,37;0,17;1,31;25,09;7,76;148,07;0,05;M
AL HG;NKW;0,018;0,1959;0,0902;0,1687;0,014;0,005;0;2,17;10,88;1,16;13,8;40,81;445,23;9,37;1,87;11,88;35,15;383,41;0,79;0,16;2,96;32,27;0,2;3,75;40,91;18,79;205;0,09;M
C18;NKW;0,0154;0,1543;0,1376;0,1849;0,013;0,008;0;1,12;10,02;0,83;11,6;20,3;514,33;12,01;1,34;13,9;24,33;616,33;0,86;0,1;1,75;44,33;0,11;2,03;51,33;18,11;458,67;0,04;M
C23;NKW;0,0165;0,1779;0,1223;0,1743;0,016;0,009;0;1,45;10,78;1,02;11,19;20,45;444,75;10,56;1,43;10,96;20,03;435,75;0,96;0,13;1,83;39,75;0,13;1,9;41,25;14,06;305,75;0,05;M
ALT 3 (SAP);NKW;0,0128;0,08;0,1792;0,2019;0,016;0,004;0;0,45;6,25;0,4;5,07;19,92;571,43;15,77;1,13;12,8;50,27;1442,14;1,23;0,09;3,93;112,69;0,07;3,19;91,43;44,62;1280;0,03;M
ALT 4 (SAP);NKW;0,0128;0,08;0,1792;0,2018;0,016;0,004;0;0,45;6,25;0,4;5,07;19,92;571,43;15,77;1,13;12,79;50,25;1441,43;1,23;0,09;3,93;112,69;0,07;3,19;91,43;44,62;1280;0,03;M
TPN;SKW;0,0126;0,1141;0,1143;0,2016;0,01;0,006;0;1;9,06;0,57;11,91;18,36;426,98;16;1,76;21,04;32,44;754,41;0,76;0,08;1,54;35,86;0,11;2,03;47,15;18,39;427,72;0,04;M
MDS;SKW;0,0168;0,1184;0,1487;0,1975;0,026;0,006;0;0,8;7,05;0,6;4,61;18,84;623,16;11,76;1,33;7,69;31,43;1039,47;1,53;0,17;4,09;135,15;0,11;2,67;88,42;23,67;782,63;0,03;M
TRX A;SKW;0,014;0,1544;0,1076;0,1955;0,016;0,007;0;1,43;11,03;0,79;9,43;20,75;482,5;13,96;1,82;11,94;26,28;610,94;1,17;0,15;2,2;51,18;0,13;1,88;43,75;14,46;336,25;0,04;M
TRX B;SKW;0,0144;0,1458;0,1106;0,2039;0,014;0,007;0;1,32;10,13;0,72;10,19;21,7;502,76;14,16;1,84;14,25;30,35;703,1;0,99;0,13;2,13;49,34;0,13;2,14;49,66;16,46;381,38;0,04;M
POR;KBN;0,0184;0,1677;0,13098;0,167253333;0,005135294;0,004584211;0,0005;1,280348145;9,114130435;1,002670599;32,65635739;36,58208955;335,4;9,089855072;1,276937955;32,56937763;36,48465365;334,5066667;0,279092072;0,039206704;1,120213413;10,27058824;0,140479463;4,013777268;36,8;261,96;261,96;0,109070034;G
POR;KBN;0,0186;0,1864;0,12408;0,161326667;0,005452941;0,005405263;0,0005;1,502256609;10,02150538;1,155419645;34,18338727;34,4849075;372,8;8,673476703;1,300182678;29,5852571;29,84621876;322,6533333;0,29316888;0,043946979;1,008820666;10,90588235;0,149903288;3,441090555;37,2;248,16;248,16;0,092502434;G
POR;KBN;0,019;0,1155;0,15246;0,185966667;0,002276471;0,003078947;0,0003;0,757575758;6,078947368;0,621079046;50,73643411;37,51282051;385;9,787719298;1,219773493;81,69078381;60,3994302;619,8888889;0,119814241;0,014931592;0,739366516;7,588235294;0,124622852;6,170940171;63,33333333;508,2;508,2;0,097435897;G
POR;KBN;0,0161;0,1652;0,11364;0,180273333;0,007994118;0,005336842;0,0005;1,453713481;10,26086957;0,916386228;20,665195;30,95463511;330,4;11,19710145;1,58635457;22,5507481;33,77902696;360,5466667;0,496529046;0,070345984;1,497911591;15,98823529;0,141675466;3,016765286;32,2;227,28;227,28;0,093688363;G
